,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
1253,Flexion Mobile,1713,FLEXM,GB00BZ1MDB19,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1254,Gomero Group,1714,GOMERO,SE0011167535,Aktie,Spotlight,Sverige,Industri,Installation & VVS
1255,Kojamo,1715,KOJAMO,FI4000312251,Aktie,Large Cap,Finland,Finans & Fastighet,Fastighetsbolag
1256,Freetrailer,1717,FREETR,DK0061026119,Aktie,Spotlight,Danmark,Sällanköpsvaror,Bil & Motor
1257,Projektengagemang,1718,PENG B,SE0011337666,Aktie,Small Cap,Sverige,Industri,Affärskonsulter
1258,Calliditas Therapeutics,1719,CALTX,SE0010441584,Aktie,Mid Cap,Sverige,Hälsovård,Läkemedel
1259,Dicot,1720,DICOT,SE0011178458,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1260,Midsummer,1721,MIDS,SE0011281757,Aktie,First North,Sverige,Kraftförsörjning,Solkraft
1261,Raketech,1722,RAKE,MT0001390104,Aktie,First North,Sverige,Sällanköpsvaror,Betting & Casino
1262,Ranplan,1723,RPLAN,SE0011178201,Aktie,First North,Sverige,Informationsteknik,Kommunikation
1263,Eezy,1724,EEZY,FI4000322326,Aktie,Small Cap,Finland,Industri,Bemanning
1264,ViroGates,1725,VIRO,DK0061030574,Aktie,First North,Danmark,Hälsovård,Medicinsk Utrustning
1265,Shelf Drilling,1727,SHLF,KYG236271055,Aktie,Oslo Bors,Norge,Energi,Olja & Gas - Borrning
1266,Calmark,1729,CALMA B,SE0011116524,Aktie,Spotlight,Sverige,Hälsovård,Läkemedel
1267,Odico,1730,ODICO,DK0061031036,Aktie,First North,Danmark,Industri,Industrimaskiner
1268,Lifecare,1731,LIFE,NO0010591191,Aktie,Oslo Growth,Norge,Hälsovård,Medicinsk Utrustning
1269,Okeanis Eco Tankers,1732,OET,MHY641771016,Aktie,Oslo Bors,Norge,Industri,Sjöfart & Rederi
1270,Risk Intelligence,1735,RISK,DK0061031978,Aktie,Spotlight,Danmark,Industri,Sjöfart & Rederi
1271,ADS Maritime,1736,ADS,CY0108052115,Aktie,Oslo Growth,Norge,Industri,Sjöfart & Rederi
1272,Lea Bank,1737,LEA,NO0010167331,Aktie,Oslo Growth,Norge,Finans & Fastighet,Banker
1273,Hypefactors,1738,HYPE,DK0060989911,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1274,Asarina Pharma,1739,ASAP,SE0011641794,Aktie,First North,Sverige,Hälsovård,Läkemedel
1275,Lumito,1740,LUMITO,SE0011282847,Aktie,NGM,Sverige,Hälsovård,Medicinsk Utrustning
1276,Metacon,1741,META,SE0003086214,Aktie,First North,Sverige,Kraftförsörjning,Bioenergi
1277,Nordic Iron Ore,1742,NIO,SE0011528017,Aktie,First North,Sverige,Material,Gruv - Prospekt & Drift
1278,Ziccum,1744,ZICC,SE0011415595,Aktie,First North,Sverige,Hälsovård,Läkemedel
1279,Stenocare,1746,STENO,DK0061078425,Aktie,First North,Danmark,Hälsovård,Läkemedel
1280,poLight,1747,PLT,NO0012535832,Aktie,Oslo Bors,Norge,Informationsteknik,Biometri
1281,Zordix,1748,ZORDIX B,SE0011725506,Aktie,First North,Sverige,Sällanköpsvaror,Gaming & Spel
1282,Comintelli,1749,COMINT,SE0011751569,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1283,Nyfosa,1750,NYF,SE0011426428,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1284,Adverty,1751,ADVT,SE0011724889,Aktie,NGM,Sverige,Sällanköpsvaror,Marknadsföring
1285,AlzeCure Pharma,1752,ALZCUR,SE0010133785,Aktie,First North,Sverige,Hälsovård,Läkemedel
1286,Axolot Solutions,1754,AXOLOT,SE0009414303,Aktie,First North,Sverige,Industri,Energi & Återvinning
1287,Hoodin,1755,HOODIN,SE0011415249,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1288,Thinc,1756,THINC,SE0020358281,Aktie,Spotlight,Sverige,Informationsteknik,Affärs- & IT-System
1289,PolarCool,1757,POLAR,SE0012570422,Aktie,Spotlight,Sverige,Hälsovård,Medicinsk Utrustning
1290,S2Medical,1758,S2M,SE0011725084,Aktie,First North,Sverige,Hälsovård,Läkemedel
1291,Scandion Oncology,1759,SCOL,DK0061031895,Aktie,First North,Sverige,Hälsovård,Biotech
1292,Oma Säästöpankki,1761,OMASP,FI4000306733,Aktie,Mid Cap,Finland,Finans & Fastighet,Banker
1293,Rush Factory,1762,RUSH,FI4000348909,Aktie,First North,Finland,Sällanköpsvaror,Resor & Nöjen
1294,Viafin Service,1763,VIAFIN,FI4000349212,Aktie,First North,Finland,Finans & Fastighet,Investmentbolag
1295,Scape Technologies,1765,SCAPE,DK0061114246,Aktie,First North,Danmark,Industri,Industrimaskiner
1296,Seluxit,1766,SLXIT,DK0061076130,Aktie,First North,Danmark,Informationsteknik,Affärs- & IT-System
1297,Zenith Energy,1767,ZENA,CA98936C1068,Aktie,Oslo Growth,Norge,Energi,Olja & Gas - Exploatering
1298,Tallink Grupp,1768,TALLINK,FI4000349378,Aktie,Mid Cap,Finland,Industri,Sjöfart & Rederi
1299,Azelio,1769,AZELIO,SE0011973940,Aktie,First North,Sverige,Kraftförsörjning,Förnybarenergi
1300,Beyond Frames,1770,BEYOND,SE0011614965,Aktie,Spotlight,Sverige,Sällanköpsvaror,Gaming & Spel
1301,Jetpak,1771,JETPAK,SE0012012508,Aktie,First North,Sverige,Industri,Tåg- & Lastbilstransport
1302,Lime Technologies,1772,LIME,SE0011870195,Aktie,Mid Cap,Sverige,Informationsteknik,Affärs- & IT-System
1303,NeoDynamics,1773,NEOD,SE0011563410,Aktie,First North,Sverige,Hälsovård,Läkemedel
1304,Q-Linea,1774,QLINEA,SE0011527845,Aktie,Small Cap,Sverige,Hälsovård,Medicinsk Utrustning
1305,CAG Group,1775,CAG,SE0011923341,Aktie,First North,Sverige,Informationsteknik,IT-Konsulter
1306,Footway,1776,FOOT B,SE0011563295,Aktie,First North,Sverige,Sällanköpsvaror,Kläder & Skor
1307,Raytelligence,1777,RAYTL,SE0011721356,Aktie,NGM,Sverige,Hälsovård,Medicinsk Utrustning
1308,Samhällsbyggnadsbolag D,1778,SBB D,SE0011844091,Stocks2,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
1309,InCoax Networks,1779,INCOAX,SE0009832595,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
1310,Pepins Group,1780,PEPINS,SE0017564354,Aktie,NGM,Sverige,Finans & Fastighet,Kredit & Finansiering
1311,Game Chest,1783,GAMEC,SE0010820191,Aktie,NGM,Sverige,Sällanköpsvaror,Gaming & Spel
1312,Clean Industry,1785,CISH,SE0011762517,Aktie,First North,Sverige,Kraftförsörjning,Solkraft
1313,LeadDesk,1786,LEADD,FI4000364120,Aktie,First North,Finland,Informationsteknik,Affärs- & IT-System
1314,Zwipe,1787,ZWIPE,NO0010721277,Aktie,Oslo Growth,Norge,Informationsteknik,Biometri
1315,Ferroamp,1788,FERRO,SE0012229920,Aktie,First North,Sverige,Industri,Energi & Återvinning
1316,Teqnion,1789,TEQ,SE0012308088,Aktie,First North,Sverige,Industri,Industrikomponenter
1317,Upsales,1790,UPSALE,SE0011985514,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
1318,Ascelia Pharma,1793,ACE,SE0010573113,Aktie,Small Cap,Sverige,Hälsovård,Läkemedel
1319,Viaplay B,1794,VPLAY B,SE0012116390,Aktie,Large Cap,Sverige,Sällanköpsvaror,Media & Publicering
1320,Viaplay A,1795,VPLAY A,SE0012324226,Stocks2,Large Cap,Sverige,Sällanköpsvaror,Media & Publicering
